"Year","Month","Commercial Imports","Government Imports","Total","Domestic FOB","Re-Exports","Total FOB","Trade Balance"
"2014","May","149,691.32","786.33","150,477.64","38,872.75","8,993.26","47,866.02","-102,611.63"
"2014","April","138,498.29","786.33","139,284.61","38,746.16","10,249.25","48,995.41","-90,289.20"
"2014","March","107,894.65","95.71","107,990.37","41,012.40","7,820.41","48,832.81","-59,157.56"
"2014","February","106,448.90","623.37","107,072.27","36,431.59","6,216.24","42,647.83","-64,424.44"
"2014","January","128,942.18","1,174.27","130,116.45","37,962.47","5,100.00","43,062.47","-87,053.98"
"2013","December","117,988.04","994.22","118,982.26","35,851.93","4,456.35","40,308.27","-78,673.99"
"2013","November","113,450.77","2,574.35","116,025.12","37,360.04","6,941.18","44,301.22","-71,723.90"
"2013","October","131,791.48","414.96","132,206.44","36,428.49","2,818.17","39,246.66","-92,959.78"
"2013","September","111,802.23","515.43","112,317.66","36,220.53","5,079.99","41,300.52","-71,017.14"
"2013","August","117,051.54","2,592.21","119,643.75","36,006.07","4,804.52","40,810.59","-78,833.16"
"2013","July","123,975.56","231.68","124,207.24","39,455.24","2,071.27","41,526.51","-82,680.73"
"2013","June","96,795.82","264.93","97,060.75","35,870.76","2,773.40","38,644.17","-58,416.58"
"2013","May","113,552.36","149.16","113,701.52","39,824.58","3,813.96","43,638.54","-70,062.98"
"2013","April","118,199.97","464.23","118,664.19","38,774.88","3,812.96","42,587.84","-76,076.35"
"2013","March","108,095.18","720.83","108,816.01","38,155.14","2,361.82","40,516.96","-68,299.05"
"2013","February","115,738.72","678.88","116,417.60","43,145.97","3,555.70","46,701.68","-69,715.93"
"2013","January","130,274.64","489.88","130,764.52","42,970.51","4,145.81","47,116.32","-83,648.21"
"2012","December","114,644.57","2,413.34","117,057.91","36,202.46","3,949.88","40,152.34","-76,905.57"
"2012","November","128,910.32","984.53","129,894.85","42,225.34","3,832.29","46,057.64","-83,837.21"
"2012","October","110,148.49","776.56","110,925.04","43,339.92","5,204.12","48,544.04","-62,381.00"
"2012","September","106,661.51","806.35","107,467.85","39,395.65","2,430.91","41,826.56","-65,641.29"
"2012","August","115,246.56","855.51","116,102.08","40,366.78","3,517.17","43,883.96","-72,218.12"
"2012","July","122,103.72","1,310.55","123,414.28","40,374.35","2,527.43","42,901.77","-80,512.50"
"2012","June","111,563.26","495.17","112,058.43","38,825.81","2,437.81","41,263.62","-70,794.81"
"2012","May","126,408.56","2,367.19","128,775.76","39,383.19","2,983.60","42,366.78","-86,408.97"
"2012","February","96,733.48","5,328.07","102,061.54","41,744.07","2,336.43","44,080.50","-57,981.04"
"2012","January","99,411.64","2,246.87","101,658.50","40,476.21","1,888.91","42,365.12","-59,293.38"
"2011","December","115,286.00","1,651.24","116,937.25","39,363.78","2,556.09","41,919.87","-75,017.37"
"2011","November","122,945.18","3,371.72","126,316.89","42,449.61","2,079.88","44,529.49","-81,787.40"
"2011","October","114,725.49","1,012.20","115,737.69","43,246.25","2,023.02","45,269.28","-70,468.41"
"2011","September","120,334.05","3,366.91","123,700.96","43,480.28","2,777.36","46,257.64","-77,443.32"
